aircraft,IATA,ICAO,capacity
Embraer EMB 120 Brasilia,EM2,E120,30
Embraer Legacy 450,\N,E545,9
Embraer Legacy 600,ER3,E35L,15
Embraer Phenom 100,EP1,E50P,4
Embraer Phenom 300,EP3,E55P,8
Embraer RJ135,ER3,E135,37
Embraer RJ140,ERD,E135,44
Embraer RJ145,ER4,E145,50
Fairchild Dornier 328JET,FRJ,J328,30
Fairchild Dornier Do.228,D28,D228,19
Fairchild Dornier Do.328,D38,D328,30
Fokker 100,100,F100,109
Fokker 50,F50,F50,56
Fokker 70,F70,F70,80
Fokker F27 Friendship,F27,F27,52
Fokker F28 Fellowship,F21,F28,79
Gulfstream Aerospace G-159 Gulfstream I,GRS,G159,24
Gulfstream G280,GR3,G280,10
Gulfstream G650,GJ6,GLF6,19
Gulfstream IV,GJ4,GLF4,19
Gulfstream V,GJ5,GLF5,14
Gulfstream/Rockwell (Aero) Commander,ACP,AC68,5
Gulfstream/Rockwell (Aero) Turbo Commander,ACT,AC90,5
Harbin Yunshuji Y12,YN2,Y12,17
Hawker Siddeley HS 748,HS7,A748,48
Ilyushin IL114,I14,I114,68
Ilyushin IL18,IL8,IL18,100
Ilyushin IL62,IL6,IL62,198
Ilyushin IL76,IL7,IL76,90
Ilyushin IL86,ILW,IL86,350
Ilyushin IL96,I93,IL96,436
Learjet 35,LRJ,LJ35,8
Learjet 60,LRJ,LJ60,8
Lockheed L-1011 Tristar,L10,L101,250
Lockheed L-1049 Super Constellation,L49,CONI,94
Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH,C130,92
Lockheed L-188 Electra,LOE,L188,98
McDonnell Douglas MD-11,M11,MD11,380
McDonnell Douglas MD-81,M81,MD81,155
McDonnell Douglas MD-82,M82,MD82,172
McDonnell Douglas MD-83,M83,MD83,172
McDonnell Douglas MD-87,M87,MD87,114
McDonnell Douglas MD-88,M88,MD88,155
McDonnell Douglas MD-90,M90,MD90,172
Tupolev Tu-134,TU3,T134,84
Tupolev Tu-144,\N,T144,55
Tupolev Tu-154,TU5,T154,167
Tupolev Tu-204,T20,T204,210
Yakovlev Yak-40,YK4,YK40,32
Yakovlev Yak-42,YK2,YK42,120
Airbus A330-700 Beluga XL,\N,A337,
Airbus A330-800neo,338,A338,
Airbus A340-200,342,A342,
Airbus A350,350,\N,
Airbus A350-1000,351,A35K,
Airbus A380,380,\N,
Antonov AN-12,ANF,AN12,
Antonov AN-124 Ruslan,A4F,A124,
Antonov AN-140,A40,A140,
Antonov An-148,A81,A148,
Antonov An-158,A58,A158,
Antonov An-225 Mriya,A25,A225,
Antonov AN-24,AN4,AN24,
Antonov AN-26,A26,AN26,
Antonov AN-28,A28,AN28,
Antonov AN-30,A30,AN30,
Antonov AN-32,A32,AN32,
Antonov AN-72,AN7,AN72,
Avro RJ100,AR1,RJ1H,
Avro RJ70,AR7,RJ70,
Avro RJ85,AR8,RJ85,
BAe 146,146,\N,
BAe 146-100,141,B461,
BAe 146-200,142,B462,
BAe 146-300,143,B463,
Beechcraft 1900,BEH,B190,
Beechcraft Baron,\N,BE58,
Beechcraft Baron / 55 Baron,\N,BE55,
Bell 212,BH2,B212,
Bombardier 415,\N,CL2T,
NAMC YS-11,YS1,YS11,
Partenavia P.68,PN6,P68,
Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS,
Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P,
Pilatus PC-12,PL2,PC12,
Pilatus PC-6 Turbo Porter,PL6,PC6T,
Piper PA-28 (above 200 hp),\N,P28B,
Piper PA-28 (up to 180 hp),\N,P28A,
Piper PA-31 Navajo,PA2,PA31,
Piper PA-44 Seminole,\N,PA44,
Piper PA-46,PAG,PA46,
Saab 2000,S20,SB20,
Saab SF340A/B,SF3,SF34,
Shorts SC-5 Belfast,SHB,BELF,
Shorts SC-7 Skyvan,SHS,SC7,
Shorts SD.330,SH3,SH33,
Shorts SD.360,SH6,SH36,
Sikorsky S-58T,S58,S58T,
Sikorsky S-61,S61,S61,
Sikorsky S-76,S76,S76,
Sikorsky S-92,S92,S92,
Sukhoi Superjet 100-95,SU9,SU95,
